Customer ID,Order Count,Total Spent,Avg Order Value,First Order,Last Order,Categories Purchased
CUST036,2,1499.98,749.99,2025-08-01,2025-08-10,2
CUST038,2,999.98,499.99,2025-08-03,2025-08-12,2
CUST041,2,979.98,489.99,2025-08-07,2025-08-15,2
CUST021,3,739.96,246.65,2025-07-17,2025-08-22,3
CUST032,2,689.96,344.98,2025-07-28,2025-08-06,2
CUST051,2,519.97,259.99,2025-08-19,2025-08-25,2
CUST027,3,499.97,166.66,2025-07-23,2025-08-28,3
CUST050,2,489.98,244.99,2025-08-17,2025-08-24,2
CUST030,2,449.98,224.99,2025-07-26,2025-08-04,2
CUST024,3,434.96,144.99,2025-07-20,2025-08-25,3
CUST066,2,399.98,199.99,2025-08-11,2025-08-12,2
CUST061,2,389.98,194.99,2025-08-05,2025-08-06,2
CUST010,3,389.96,129.99,2025-07-07,2025-08-05,2
CUST004,3,375.97,125.32,2025-07-03,2025-08-21,2
CUST023,3,374.95,124.98,2025-07-19,2025-08-24,3
CUST045,2,369.98,184.99,2025-08-11,2025-08-19,2
CUST017,3,369.97,123.32,2025-07-13,2025-08-18,3
CUST029,3,346.97,115.66,2025-07-25,2025-08-30,3
CUST006,3,339.94,113.31,2025-07-04,2025-08-27,2
CUST058,2,299.96,149.98,2025-08-02,2025-08-29,2
CUST055,2,289.98,144.99,2025-08-25,2025-08-29,2
CUST047,2,289.98,144.99,2025-08-13,2025-08-21,2
CUST012,3,289.97,96.66,2025-07-08,2025-08-09,3
CUST067,2,279.98,139.99,2025-08-13,2025-08-14,2
CUST026,3,269.97,89.99,2025-07-22,2025-08-27,3
CUST016,3,262.97,87.66,2025-07-12,2025-08-18,3
CUST054,2,259.98,129.99,2025-08-23,2025-08-28,2
CUST060,2,259.95,129.97,2025-08-03,2025-08-04,2
CUST013,3,239.96,79.99,2025-07-09,2025-08-12,2
CUST008,3,227.95,75.98,2025-07-05,2025-08-01,2
CUST028,3,219.97,73.32,2025-07-24,2025-08-29,3
CUST025,3,219.96,73.32,2025-07-21,2025-08-26,3
CUST015,3,216.97,72.32,2025-07-11,2025-08-16,3
CUST070,2,214.98,107.49,2025-08-17,2025-08-17,2
CUST046,2,209.97,104.98,2025-08-12,2025-08-20,2
CUST011,3,207.97,69.32,2025-07-08,2025-08-08,2
CUST020,3,199.97,66.66,2025-07-16,2025-08-21,2
CUST022,3,194.97,64.99,2025-07-18,2025-08-23,2
CUST033,2,189.98,94.99,2025-07-29,2025-08-07,2
CUST005,3,189.97,63.32,2025-07-03,2025-08-24,2
CUST034,2,179.98,89.99,2025-07-30,2025-08-08,2
CUST002,3,179.96,59.99,2025-07-01,2025-08-15,2
CUST018,3,179.92,59.97,2025-07-14,2025-08-19,2
CUST040,2,175.97,87.98,2025-08-06,2025-08-14,2
CUST065,2,169.98,84.99,2025-08-10,2025-08-11,2
CUST068,2,169.98,84.99,2025-08-14,2025-08-15,2
CUST001,4,160.95,40.24,2025-07-01,2025-08-05,1
CUST035,2,159.98,79.99,2025-07-31,2025-08-09,2
CUST019,3,154.96,51.65,2025-07-15,2025-08-20,3
CUST069,2,149.98,74.99,2025-08-15,2025-08-16,2
CUST043,2,149.98,74.99,2025-08-09,2025-08-17,2
CUST048,2,149.94,74.97,2025-08-14,2025-08-22,2
CUST009,3,144.95,48.32,2025-07-06,2025-08-04,2
CUST053,2,134.98,67.49,2025-08-22,2025-08-27,2
CUST062,2,129.98,64.99,2025-08-06,2025-08-07,2
CUST057,2,129.98,64.99,2025-08-01,2025-08-28,2
CUST059,2,124.98,62.49,2025-08-02,2025-08-03,2
CUST007,3,124.97,41.66,2025-07-05,2025-08-30,1
CUST031,2,122.98,61.49,2025-07-27,2025-08-05,2
CUST014,3,114.97,38.32,2025-07-10,2025-08-13,2
CUST049,2,109.98,54.99,2025-08-16,2025-08-23,2
CUST064,2,109.97,54.98,2025-08-09,2025-08-10,2
CUST039,2,99.97,49.98,2025-08-04,2025-08-13,2
CUST056,2,98.98,49.49,2025-08-26,2025-08-30,2
CUST044,2,97.97,48.98,2025-08-10,2025-08-18,2
CUST037,2,94.98,47.49,2025-08-02,2025-08-11,2
CUST003,3,91.96,30.65,2025-07-02,2025-08-18,1
CUST063,2,89.96,44.98,2025-08-07,2025-08-08,2
CUST052,2,69.98,34.99,2025-08-20,2025-08-26,2
CUST042,2,69.98,34.99,2025-08-08,2025-08-16,2
